patient	cancer	response	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5
SK.NEP.1	kidney	1.220367	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
SW13	kidney	2.660853	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation
VMRC.RCZ	kidney	5.696552	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation
RCC10RGB	kidney	6.821594	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation
BB65.RCC	kidney	1.038374	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation
IST.SL2	lung	3.406628	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
KNS.62	lung	2.641739	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
LCLC.103H	lung	4.719679	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
LU.134.A	lung	4.750185	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
LXF.289	lung	3.161664	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
MS.1	lung	6.547701	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
NCI.H1563	lung	4.98031	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
NCI.H292	lung	5.89784	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
NCI.H510A	lung	3.250877	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
PC.14	lung	1.744455	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
NCI.H226	lung	3.725984	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
NCI.H23	lung	1.527082	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
NCI.H460	lung	2.12435	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
A549	lung	3.631747	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
COLO.668	lung	4.633801	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
IA.LM	lung	3.141984	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
A427	lung	5.858937	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
RERF.LC.MS	lung	6.034547	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
COR.L279	lung	1.429758	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
LCLC.97TM1	lung	2.986232	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
NCI.H1975	lung	3.746736	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
NCI.H810	lung	5.610372	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
EKVX	lung	6.183365	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
HOP.62	lung	1.518018	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
HOP.92	lung	1.255816	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
ABC.1	lung	1.283161	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
COR.L105	lung	3.123498	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
COR.L88	lung	6.511787	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
IST.MES1	lung	2.981633	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
DMS.53	lung	6.482946	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
LU.99A	lung	1.457321	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
MPP.89	lung	2.191885	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
MSTO.211H	lung	4.044288	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
NCI.H520	lung	4.288214	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
NCI.H596	lung	5.718735	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
NCI.H441	lung	5.295018	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
NCI.H2452	lung	5.363383	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
NCI.H1793	lung	2.951665	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
NCI.H358	lung	4.506685	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
NCI.H1155	lung	2.280691	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
NCI.H28	lung	4.760889	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
NCI.H1573	lung	4.721239	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
NCI.H1666	lung	3.47389	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
NCI.H1703	lung	4.999723	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
NCI.H1755	lung	5.333582	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
NCI.H1993	lung	7.209714	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
NCI.H524	lung	2.139932	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
SK.LU.1	lung	1.998357	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
SK.MES.1	lung	4.857482	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
UMC.11	lung	6.805516	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
NCI.H838	lung	2.895541	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
NCI.H1395	lung	3.770087	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
ChaGo.K.1	lung	2.451125	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
